name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication,detection_type,mass_detection_type,radius_detection_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_metallicity,star_mass,star_radius,star_sp_type,star_age,star_teff,star_alternate_names
Kepler-168 b,Confirmed,,,,,,,0.13,0.059,0.059,4.425391,3.30E-05,3.30E-05,0.056,,,,,,,,,,2014,06/03/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-168,294.7101746,39.825104,,,13.49,13.257,13.206,,-0.012,,1.11,,,6282,
Kepler-168 c,Confirmed,,,,,,,0.24,0.108,0.108,13.193242,4.90E-05,4.90E-05,0.116,,,,,,,,,,2014,06/03/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-168,294.7101746,39.825104,,,13.49,13.257,13.206,,-0.012,,1.11,,,6282,
Kepler-169 b,Confirmed,,,,,,,0.101,0.007,0.007,3.250619,1.30E-05,1.30E-05,0.04,,,,,,,,,,2014,06/03/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-169,285.999878,40.919331,,,12.729,12.283,12.186,,0.238,0.86,0.76,,,4997,
Kepler-169 c,Confirmed,,,,,,,0.108,0.007,0.007,6.195469,2.90E-05,2.90E-05,0.062,,,,,,,,,,2014,06/03/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-169,285.999878,40.919331,,,12.729,12.283,12.186,,0.238,0.86,0.76,,,4997,
Kepler-169 d,Confirmed,,,,,,,0.112,0.008,0.008,8.348125,4.10E-05,4.10E-05,0.075,,,,,,,,,,2014,06/03/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-169,285.999878,40.919331,,,12.729,12.283,12.186,,0.238,0.86,0.76,,,4997,
Kepler-169 e,Confirmed,,,,,,,0.196,0.026,0.026,13.767102,3.40E-05,3.40E-05,0.105,,,,,,,,,,2014,06/03/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-169,285.999878,40.919331,,,12.729,12.283,12.186,,0.238,0.86,0.76,,,4997,
Kepler-169 f,Confirmed,,,,,,,0.23,0.021,0.021,87.090195,0.000406,0.000406,0.359,,,,,,,,,,2014,06/03/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-169,285.999878,40.919331,,,12.729,12.283,12.186,,0.238,0.86,0.76,,,4997,
Kepler-17 b,Confirmed,2.45,0.014,0.014,,,,1.312,0.018,0.018,1.4857108,2.00E-07,2.00E-07,0.02591,0.00037,0.00037,0.011,inf,nan,87.2,0.15,0.15,3.20E-05,2011,19/10/2013,,,,,,,,,,2455185.678,2.60E-05,2.60E-05,,,,,,,,,,,,,,,,1655,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,Kepler-17,298.3958333,47.815,14,,,,,800,0.26,1.16,1.05,G2V,1.78,5781,
Kepler-170 b,Confirmed,,,,,,,0.285,0.02,0.02,7.930592,1.40E-05,1.40E-05,0.08,,,,,,,,,,2014,06/03/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-170,284.5211792,41.629604,,,13.143,12.773,12.677,,0.234,,1.03,,,5679,
Kepler-170 c,Confirmed,,,,,,,0.255,0.015,0.015,16.665863,5.30E-05,5.30E-05,0.131,,,,,,,,,,2014,06/03/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-170,284.5211792,41.629604,,,13.143,12.773,12.677,,0.234,,1.03,,,5679,
Kepler-171 b,Confirmed,,,,,,,0.209,0.094,0.094,4.166972,7.00E-06,7.00E-06,0.05,,,,,,,,,,2014,06/03/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-171,296.7719117,41.755539,,,13.586,13.231,13.206,,-0.151,,0.84,,,5642,
Kepler-171 c,Confirmed,,,,,,,0.228,0.103,0.103,11.463462,2.60E-05,2.60E-05,0.098,,,,,,,,,,2014,06/03/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-171,296.7719117,41.755539,,,13.586,13.231,13.206,,-0.151,,0.84,,,5642,
Kepler-171 d,Confirmed,,,,,,,0.169,0.08,0.08,39.595519,0.000699,0.000699,0.223,,,,,,,,,,2014,06/03/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-171,296.7719117,41.755539,,,13.586,13.231,13.206,,-0.151,,0.84,,,5642,
